Blog	following	worth	personal	earlier	act	anyway	loud	starting	bill	apart	woman	son	history	shot	feet	main	musical	missing	performance	however	friday	pick	mostly	guys	opening	recently	dog	phone	tom	present	punk	title	quality	yesterday	film	view	energy	saying	turns	caught	evening	stuck	type	y	means	london	social	river	singing	due	beyond	possible	seemed	funny	reading	brothers	usually	wonderful	f	itself	albums	share	dancing	needed	tomorrow	key	bed	understand	fresh	fans	wall	asked	aren	built	alive	lead	l	tried	popular	saturday	electric	heads	seeing	bright	large	happened	mountain	noise	company	august	wrote	joy	wind	theme	throughout	create	previous	awesome	themselves	classic	nights	lights	starts	bear	brown	english	june	wants	festival	hits	flying	perhaps	recent	lady	towards	himself	weird	september	important	public	add	birthday	changed	closer	fit	huge	poor	meet	father	hair	quickly	solo	g	current	sex	smith	tree	brought	meant	photo	happen	stories	copy	college	van	building	clean	quick	internet	george	parts	seven	leaving	fair	sister	fight	robert	shit	spend	greatest	added	magic	ghost	truly	jack	dreams	holding	heaven	plays	pay	crowd	bottom	learn	problem	april	date	kept	ep	audience	continue	ends	ain	floor	thoughts	station	human	tune	certain	business	collection	longer	review	various	golden	despite	question	action	plan	animal	totally	giving	food	reasons	system	peter	february	snow	brother	july	debut	season	pieces	lucky	catch	nature	scott	ended	camera	fuck	hill	million	acoustic	co	december	hall	buy	memories	worked	voices	usual	features	members	christmas	v	smile	indie	lack	non	using	fantastic	round	october	spirit	letter	keeping	missed	link	secret	putting	enjoyed	studio	steve	total	older	gives	billy	falling	eventually	amount	definitely	soft	driving	serious	simply	era	met	entire	joe	imagine	liked	ice	streets	inspired	concert	tired	beauty	color	speak	jones	women	pure	choice	series	november	jam	america	michael	likely	nobody	setting	peace	folk	cry	difficult	possibly	section	w	doubt	grow	drums	island	material	names	cross	south	certainly	picked	mid	underground	mike	normal	queen	hoping	seriously	paper	drop	grand	although	afternoon	miles	hopefully	figure	surprise	cd	moments	ok	general	matt	lonely	hotel	whether	slightly	area	edge	pass	land	process	safe	easily	vocals	pictures	north	leaves	holiday	press	weather	spot	bird	led	anymore	fell	example	vs	lee	nowhere	guitars	covers	ray	particular	calling	hi	similar	store	nick	rare	wine	drum	minor	recorded	string	brain	sign	featured	nearly	recording	biggest	onto	expect	wanna	hop	tears	richard	everybody	mention	service	learned	tiny	among	happens	female	level	featuring	mood	information	standing	ground	bass	pre	breaking	damn	perfectly	opportunity	apparently	weren	drugs	brian	brings	coast	rough	event	arms	lake	burning	brand	size	highly	books	empty	beats	jazz	rose	ball	ii	several	except	orange	table	interview	january	answer	regular	ideas	surprised	east	rolling	odd	included	career	began	trouble	begin	smart	ryan	interest	somehow	sitting	absolutely	planet	incredible	points	growing	bunch	natural	eat	chris	glad	glass	society	california	hearts	dirty	mouth	production	label	excellent	ocean	fourth	period	hurt	kiss	attack	burn	dropped	member	support	uk	frank	rhythm	obvious	hearing	focus	sonic	garage	honest	movement	build	hip	became	dave	followed	hang	promise	image	turning	site	cannot	los	managed	finished	finding
Sonology	11	0	3	8	7	7	5	6	0	3	8	20	11	5	11	1	3	3	1	26	1	3	3	16	2	11	9	5	4	8	3	1	2	6	1	6	14	7	9	5	4	9	0	1	11	1	9	35	3	5	7	3	6	12	15	3	7	5	0	5	0	8	2	5	0	1	14	9	0	2	2	19	9	6	6	5	0	5	1	5	1	1	11	1	6	3	10	7	17	4	4	2	3	3	1	3	0	11	5	7	0	5	1	1	7	2	6	6	2	1	3	20	4	2	8	9	5	2	13	0	9	47	5	1	0	5	6	2	26	14	8	1	2	2	1	4	5	8	4	2	5	3	3	7	4	10	0	1	4	3	2	0	3	3	3	6	0	2	4	5	0	7	1	1	7	5	4	2	4	4	6	3	4	11	1	1	3	3	5	1	2	2	11	1	12	16	2	6	7	0	9	2	1	7	18	24	10	5	6	2	4	12	4	3	1	3	6	30	4	0	2	7	1	4	14	0	1	3	0	4	2	0	5	2	0	6	4	8	0	4	1	4	15	0	20	0	4	5	0	2	4	0	4	3	7	1	0	3	7	3	0	3	0	11	1	2	4	8	4	2	3	6	1	7	0	6	8	1	9	4	7	0	1	0	4	8	8	3	0	2	2	2	2	3	1	1	1	3	3	4	3	0	3	1	3	1	0	2	3	0	6	1	2	1	3	0	7	2	0	0	3	0	4	1	9	1	8	1	5	2	0	3	7	0	7	6	3	1	0	0	12	1	7	4	2	4	13	5	5	0	5	0	4	2	2	0	2	3	5	2	6	7	1	0	3	0	0	1	1	4	3	5	9	0	3	4	5	2	0	1	6	6	0	7	1	2	6	4	0	4	2	1	0	6	2	20	3	5	3	2	6	3	2	4	4	7	0	4	3	5	2	4	6	1	1	0	1	0	1	4	11	7	2	0	3	6	15	2	0	0	5	10	6	14	2	0	5	8	4	4	2	8	5	2	2	1	1	1	1	8	4	1	3	17	9	11	1	3	3	3	10	1	7	9	1	0	4	3	0	0	1	10	1	0	1	8	7	5	6	6	7	0	2	3	5	0	0	1	3	4	2	2	0	2	2	5	3	8	0	5	3	0	4	3	2	2	0	3	5	4
Blog Name Pending	7	1	3	15	4	11	20	9	0	10	11	10	1	3	3	4	21	5	19	13	12	14	18	3	11	1	0	7	5	6	25	20	10	2	6	2	5	10	4	3	1	5	3	17	7	5	10	2	21	4	2	6	7	2	23	3	5	19	7	5	96	3	4	3	6	6	1	8	3	12	13	0	6	9	0	18	11	5	3	6	4	2	6	3	2	6	2	14	1	3	5	0	2	8	18	6	13	9	6	28	0	1	13	8	7	3	2	10	25	9	3	4	13	4	14	13	20	5	5	3	3	0	4	20	24	11	3	0	4	3	10	16	3	4	2	5	4	2	3	3	4	2	8	13	1	1	7	2	10	3	11	15	1	0	2	0	3	3	3	27	1	0	6	15	1	2	0	2	15	6	14	3	1	7	2	4	2	8	7	7	17	0	1	6	0	1	16	6	4	6	12	14	1	1	2	2	7	0	4	9	7	2	4	3	2	2	3	5	2	25	4	3	3	1	2	11	5	4	2	0	5	5	5	4	0	3	3	8	8	2	33	3	7	3	3	24	7	10	4	36	0	1	1	0	0	6	3	1	0	4	15	2	3	6	18	1	0	5	12	30	2	7	2	3	7	2	26	2	2	8	0	1	2	7	5	5	0	3	2	7	9	8	8	2	3	8	9	1	0	3	3	8	8	1	4	28	7	8	4	38	3	8	1	0	0	26	6	1	2	10	3	0	2	3	0	4	1	29	2	2	5	15	6	2	17	0	5	5	3	8	4	4	0	3	0	0	1	2	3	52	5	1	9	1	0	4	4	0	9	1	5	6	0	1	4	22	2	1	1	9	1	13	3	2	1	1	17	8	8	3	0	2	8	15	3	10	1	10	3	41	2	2	0	8	1	1	1	4	5	3	8	9	7	0	2	6	48	3	1	5	20	3	1	6	2	1	3	0	0	0	3	4	0	2	3	10	0	1	20	39	1	7	1	12	3	5	2	1	1	3	2	1	7	1	5	2	3	8	8	5	4	3	2	2	15	4	5	1	16	4	1	8	1	1	6	4	2	2	3	1	12	2	47	2	42	19	3	0	3	3	3	0	3	6	0	0	18	16	4	7	2	4	2	5	6	5	41	6	10	4	6	3	0	1	2	5	3	3	2	1
Tremagazine	7	11	3	20	2	0	2	3	2	2	0	1	2	0	1	5	1	2	24	0	7	3	1	22	11	14	1	1	0	2	1	4	3	0	1	1	5	1	4	4	3	4	1	4	0	7	6	5	2	9	1	0	3	0	4	5	3	7	0	0	15	8	3	3	5	0	2	6	0	4	0	3	4	2	4	10	1	6	2	8	0	4	11	2	0	2	3	2	0	5	4	5	2	2	14	0	6	13	0	6	4	9	1	4	2	0	18	0	52	2	3	1	5	0	4	1	0	7	0	2	0	0	2	2	2	11	3	1	7	0	2	2	0	3	3	0	1	1	1	0	2	6	0	1	10	1	0	0	3	4	2	1	5	0	1	4	4	1	2	2	5	5	6	0	5	3	2	3	0	2	10	3	0	2	13	6	5	12	0	3	6	6	2	5	2	1	9	0	4	2	1	1	1	4	0	0	0	1	2	0	1	0	2	0	0	9	2	1	4	23	2	0	3	10	0	3	0	0	1	9	3	5	23	2	58	3	1	0	4	0	5	2	1	2	2	0	1	1	0	9	1	5	13	0	0	6	5	1	5	17	17	2	0	2	0	2	6	1	2	4	0	3	2	2	1	2	7	3	1	7	1	5	0	13	1	1	1	0	0	1	4	2	0	3	9	3	2	0	3	3	0	17	5	1	0	0	60	0	1	2	5	13	0	1	4	3	5	1	3	0	0	0	3	0	1	1	3	2	0	1	6	1	3	2	0	8	0	13	5	3	1	0	1	1	2	2	1	2	9	10	0	9	2	0	5	3	1	6	1	3	3	0	0	3	2	1	3	1	4	1	5	1	2	0	2	7	1	4	7	2	1	0	8	0	0	0	1	2	5	0	1	0	1	3	0	0	2	3	2	3	1	8	0	7	7	4	0	5	0	5	2	1	0	0	11	2	0	3	3	3	2	16	1	2	1	5	0	5	4	2	4	3	4	14	1	4	1	3	7	2	0	1	2	4	3	1	9	1	3	2	0	0	11	0	4	1	14	1	8	1	0	10	1	9	9	5	5	0	4	5	0	1	0	1	19	10	2	0	4	0	2	1	2	0	6	18	8	1	1	5	0	1	1	1	0	1	0	0	0	3	1	0	1	0	5	1	36	0	0	2
Our Podcast Could Be Your Life	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	1	0	1	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	2	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	2	1	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
The Night Mail	56	11	54	21	41	21	8	10	4	15	58	3	35	4	2	16	597	8	127	176	1	2	3	3	28	9	2	8	3	78	40	25	45	2	17	13	31	11	11	6	3	0	16	1	64	34	84	2	92	9	49	60	8	3	23	0	53	3	22	212	87	10	26	6	2	146	3	32	8	23	21	7	19	15	7	27	20	5	34	2	11	6	10	7	23	2	0	66	1	4	8	10	1	29	42	17	86	5	110	17	2	5	9	10	3	3	0	10	7	2	2	110	47	3	100	35	14	8	59	21	6	1	12	9	23	27	6	2	3	2	12	23	97	13	34	10	1	9	14	2	12	17	0	3	0	8	15	8	12	3	23	7	23	7	1	11	15	2	2	12	12	9	18	12	1	16	6	26	16	4	21	6	8	23	2	5	5	23	47	21	27	3	7	14	4	133	36	90	4	21	31	39	51	2	38	49	61	0	11	39	23	0	14	26	4	3	3	5	3	11	7	12	5	2	50	4	8	8	7	4	1	16	29	0	1	20	12	3	66	5	26	1	24	21	1	41	30	96	28	17	22	6	18	4	12	3	10	20	8	3	12	3	40	15	32	1	12	21	11	5	20	2	23	17	5	4	30	0	23	4	2	10	6	5	4	36	0	13	2	40	63	11	65	6	8	13	3	7	2	21	3	65	5	18	28	52	11	11	4	19	3	65	9	16	6	64	2	6	9	3	18	5	2	15	2	2	4	51	0	0	3	29	4	3	59	0	60	0	9	1	36	17	3	4	14	5	64	12	29	143	1	3	6	4	8	0	0	10	9	2	2	88	30	10	0	16	4	3	233	8	4	59	3	0	9	0	16	46	63	6	7	5	2	9	34	7	50	9	15	22	1	6	3	15	10	8	6	19	17	58	57	6	8	2	11	14	81	47	11	2	44	10	15	3	7	1	16	11	4	42	4	5	3	11	3	12	6	40	60	51	13	1	4	19	7	0	9	16	2	9	33	35	3	5	8	6	15	5	8	6	29	2	4	18	16	3	15	3	17	27	4	0	43	6	1	1	15	95	1	0	11	6	105	17	2	1	16	14	1	0	3	1	2	1	12	17	3	41	23	73	38	167	7	8	78	8	28	5	2	13	3	18	36	13	17	72	1	10	2	14
The Campus Buzz on WSOU	1	0	0	0	0	1	2	1	0	3	3	11	0	4	12	4	0	3	2	0	6	2	0	12	0	0	17	4	3	1	3	9	0	3	1	4	3	1	0	3	6	3	6	7	2	2	10	25	1	0	1	0	0	1	3	7	0	4	2	0	4	1	5	1	9	2	9	1	0	0	8	1	0	29	17	1	1	0	0	3	8	3	1	12	4	6	8	11	4	3	0	18	4	64	0	1	0	11	0	1	5	18	6	27	2	3	5	4	4	1	4	0	0	2	0	0	6	1	1	2	0	4	1	10	0	1	2	2	9	9	0	7	18	2	9	8	3	1	6	1	9	2	1	2	3	0	1	1	0	0	8	3	1	0	4	13	1	0	0	3	1	11	25	0	23	9	2	17	1	2	1	37	1	4	1	0	0	7	2	1	2	6	6	1	4	5	16	2	0	0	18	10	2	11	0	0	4	7	14	3	3	3	2	1	4	0	4	8	3	1	4	9	2	2	3	1	2	13	0	4	4	17	0	4	8	0	0	0	21	0	3	0	13	3	4	6	3	0	0	2	4	1	6	4	0	9	0	4	0	14	8	1	3	1	0	1	11	0	1	2	1	1	4	0	1	0	1	0	8	1	3	5	0	1	3	2	5	2	0	0	4	0	0	0	1	2	2	0	1	1	2	0	6	0	0	0	1	4	1	9	1	1	1	2	1	0	2	0	3	5	66	5	0	4	9	4	1	1	1	9	9	1	1	0	0	10	2	24	45	7	0	0	1	1	2	5	0	5	0	1	7	4	19	2	0	14	0	14	0	3	1	1	9	2	10	3	0	4	0	6	2	0	1	3	1	12	12	63	0	2	5	1	0	0	1	0	1	1	30	25	3	0	3	0	2	2	13	1	0	1	1	2	0	0	0	5	11	1	1	0	0	0	0	3	2	1	0	19	1	0	9	8	1	7	104	0	4	1	0	4	3	6	1	0	0	2	64	10	6	3	1	3	1	1	3	0	0	0	0	10	4	0	43	0	0	0	1	3	0	1	0	2	0	10	3	0	20	1	5	13	9	13	0	0	0	16	0	0	10	6	21	5	1	0	0	0	0	2	0	1	0	14	0	2	0	3	1	0	3	0	0	9	1	1	0	2	15	0	1	1
What Am I Doing?	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	4	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	1	2	1	0	0	0	0	2	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	2	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	1	0	0	0	1	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0	0	1	0	0	0	0	0
symmetry/symmetry	0	0	1	1	1	3	0	0	0	1	1	1	0	0	0	0	2	0	4	0	6	1	0	5	0	0	0	2	0	2	1	2	1	2	0	0	1	2	2	1	2	0	3	4	5	0	0	1	0	1	0	0	1	0	1	0	0	1	1	1	1	4	1	2	2	1	0	2	2	2	0	5	1	1	0	0	2	1	0	7	0	0	2	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	1	1	0	0	0	0	0	0	5	2	0	0	0	1	2	0	0	2	1	6	1	0	2	0	0	1	1	0	0	2	4	1	3	2	2	1	0	0	1	1	1	0	2	0	0	1	0	2	0	0	2	0	1	0	0	0	4	1	0	2	0	0	3	0	2	1	0	0	2	0	2	0	3	0	2	2	1	1	0	6	1	0	0	0	1	0	2	2	3	0	2	1	0	0	0	0	0	1	0	0	1	2	0	0	0	2	0	2	0	0	1	3	0	1	0	1	1	5	0	1	0	0	0	0	1	10	0	1	0	2	0	1	1	1	7	1	0	0	0	1	1	0	0	0	2	0	1	1	0	0	1	0	10	0	0	1	0	1	1	1	1	3	0	0	1	0	0	1	0	0	0	1	0	0	1	0	1	0	0	5	4	0	0	1	0	1	0	0	4	0	0	1	2	0	0	1	0	1	1	0	2	7	0	7	1	0	0	0	0	0	0	1	0	0	7	3	0	0	2	0	1	0	3	3	1	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	1	4	0	1	0	0	0	2	0	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	4	0	3	0	1	0	0	0	9	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	1	0	2	0	0	0	0	2	1	0	0	0	0	0	1	1	1	0	0	2	0	0	0	3	1	0	1	0	0	0	1	0	1	0	2	0	0	1	0	1	0	0	1	0	3	0	2	1	5	1	0	5	0	0	0	0	0	2	1	1	0	0	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	1	2	4	0	0	1	1	1	1	0	0	0	0	0	1	3	0	1	0	1	0	0	0	0	0	0	3	1
bittersweet	1	4	3	4	3	39	1	1	0	14	20	0	2	1	9	1	1	13	1	1	0	1	16	6	1	10	0	0	1	2	0	6	0	6	1	1	2	20	3	1	2	3	14	0	16	2	9	0	1	7	4	10	11	18	21	2	25	8	0	3	1	3	0	12	12	2	17	11	5	2	2	25	6	1	8	2	0	10	2	2	0	3	16	46	5	24	0	2	5	2	5	5	0	1	3	6	4	0	4	0	0	1	1	9	7	3	1	9	0	1	2	5	3	9	2	5	9	0	17	5	0	4	6	8	6	7	12	39	2	30	2	1	1	1	35	0	3	6	19	1	32	6	0	0	0	0	7	1	3	1	9	0	8	0	10	3	0	30	16	1	1	3	3	30	0	32	9	7	0	10	1	3	16	8	7	12	10	0	4	2	4	0	6	6	0	6	0	19	1	0	10	0	3	0	0	4	8	2	1	5	8	8	5	0	0	7	1	9	1	4	6	14	38	2	3	0	6	0	31	0	1	2	1	1	0	5	18	8	1	11	2	1	6	7	29	0	5	3	0	0	6	1	1	2	0	6	1	4	5	3	0	0	2	8	8	0	10	8	7	9	7	2	3	6	0	13	0	0	13	3	2	0	4	0	23	13	0	13	0	21	7	1	0	1	1	0	0	5	0	0	11	0	8	11	2	0	0	10	9	0	6	1	0	3	0	18	3	0	0	0	2	0	5	3	6	1	6	0	0	10	11	6	0	0	4	24	2	0	13	8	20	2	0	1	2	2	5	7	5	2	19	0	0	4	3	1	6	0	0	44	10	0	0	0	7	0	0	0	10	4	4	0	10	0	4	2	0	0	0	11	4	7	0	2	0	3	0	16	1	0	18	0	1	1	8	0	18	2	31	5	1	2	2	2	0	1	0	0	1	3	1	1	2	0	0	0	6	0	4	4	5	0	2	1	3	3	8	15	6	1	1	1	1	1	5	0	10	1	2	13	4	0	7	0	0	5	6	1	0	1	3	0	0	3	18	2	9	0	1	0	5	0	2	10	1	8	3	1	0	8	3	7	0	0	1	4	0	2	22	20	2	3	0	0	1	1	0	0	0	0	1	0	0	4	0	0	0	5	0	1	8	4	2	5	1	3	0	5	3	4
künstler treu	2	0	2	0	0	4	0	0	1	0	2	0	0	1	2	2	2	0	2	1	1	1	1	2	3	4	1	1	0	0	1	1	0	1	2	1	0	0	1	0	0	0	0	4	0	0	1	1	3	2	0	1	1	0	1	1	0	4	86	0	1	5	1	0	1	0	0	1	2	3	1	2	0	0	0	1	5	2	1	0	7	1	3	2	2	2	3	5	2	3	1	1	5	11	0	0	1	3	0	0	0	4	0	4	0	1	1	1	6	0	7	0	1	1	2	1	5	3	0	0	2	0	2	1	2	2	2	5	1	1	1	3	4	0	0	2	2	1	0	1	0	3	2	0	3	0	0	0	2	2	0	1	0	0	4	1	5	2	2	1	0	4	5	0	5	1	0	0	1	2	1	1	0	0	0	2	0	1	2	2	2	1	1	1	105	0	5	1	4	1	1	3	3	4	0	0	0	12	1	0	3	2	0	5	5	2	0	1	1	3	0	2	0	3	2	1	1	0	4	1	0	3	1	1	1	9	0	1	2	0	3	1	1	1	4	1	0	0	1	1	1	0	3	3	0	0	2	1	0	3	2	5	0	0	1	0	0	2	0	0	6	0	0	0	0	2	0	0	1	0	1	0	2	2	0	5	1	3	3	2	0	2	0	2	0	0	6	1	0	1	1	0	0	1	0	7	5	1	1	0	1	3	0	1	0	0	1	0	5	2	0	4	1	0	0	2	6	1	1	1	0	0	1	6	1	0	1	0	3	0	0	0	2	0	0	0	1	0	0	1	0	4	0	3	0	4	0	2	0	0	0	1	4	7	0	1	1	4	0	1	7	0	0	0	0	0	2	1	1	3	2	2	2	0	0	0	2	1	3	0	0	6	3	0	0	0	3	2	1	0	0	5	1	0	0	0	2	0	2	0	0	3	0	0	0	1	1	0	0	0	0	0	2	9	0	0	4	1	1	4	1	1	4	0	3	1	1	2	2	1	0	0	0	0	0	1	0	0	3	1	2	0	0	0	1	1	2	2	3	0	1	0	0	0	2	0	7	2	1	2	0	0	0	6	0	2	0	1	0	0	0	0	3	0	0	1	8	3	0	3	3	0	1	1	0	0	0	0	1	0	2	0	0	1	0	0	1	0	2	0
Rants from the Pants	6	7	4	4	4	8	6	4	2	1	11	2	5	2	5	0	9	0	5	10	7	5	2	6	1	3	1	5	0	5	2	1	5	2	1	5	5	9	4	2	2	5	3	1	2	0	1	2	0	0	3	4	1	16	9	1	7	2	0	10	1	16	3	7	5	0	12	11	12	2	4	14	4	2	4	0	1	7	2	5	1	1	1	1	3	7	0	0	2	1	0	1	5	0	4	1	0	4	6	1	0	0	2	0	4	1	0	2	2	3	4	6	5	9	2	5	9	0	10	3	11	3	3	3	1	7	7	3	5	8	2	1	2	7	7	0	1	3	3	1	10	7	5	6	4	0	3	3	8	1	3	4	2	11	6	4	3	14	2	1	2	2	0	8	1	3	3	1	1	9	1	0	1	8	0	1	10	0	2	1	2	1	5	3	1	7	0	4	8	0	5	2	0	3	0	8	5	0	7	6	5	16	4	3	2	0	5	0	0	0	6	0	0	1	9	0	3	0	6	1	1	0	2	2	2	4	4	1	2	3	1	1	15	2	5	0	8	3	2	10	4	1	1	0	1	1	1	1	6	4	1	2	3	2	2	2	3	2	3	3	2	2	6	4	0	3	9	2	3	1	3	0	0	3	5	4	1	7	2	16	1	8	5	0	1	6	0	3	1	1	2	1	8	4	3	2	1	4	5	1	1	0	2	2	14	3	0	1	0	0	2	1	2	12	4	3	0	2	2	0	5	2	1	0	3	1	5	2	0	0	0	4	1	1	1	7	3	2	3	0	1	0	2	0	5	1	0	1	0	5	2	9	2	1	2	0	3	0	1	4	0	1	0	1	2	3	0	0	0	1	6	0	0	1	0	6	2	3	1	0	3	3	0	6	3	6	4	1	0	2	4	4	4	6	2	4	0	0	1	9	1	2	12	4	0	0	0	2	0	1	2	0	1	2	1	3	1	2	0	0	0	8	1	7	6	5	14	7	0	8	0	2	3	1	4	0	0	4	0	3	1	14	0	1	4	7	5	2	1	5	3	3	6	7	3	3	2	3	0	0	6	5	4	0	3	1	2	6	4	2	1	0	1	0	4	2	0	0	4	1	1	0	0	1	2	2	0	4	0	5	0	4	4	2	1	4	0	3	0	1
sweeping the kitchen	0	0	0	0	1	0	0	0	0	0	1	0	0	5	0	0	0	0	0	0	0	0	1	4	2	1	0	3	0	0	0	1	1	1	2	1	0	1	0	0	1	0	2	2	0	0	0	0	1	0	1	0	0	2	1	0	1	0	0	0	1	0	1	0	1	0	3	1	0	0	1	1	0	0	0	1	2	0	2	1	1	0	1	0	0	0	0	1	0	0	0	1	0	1	1	0	2	2	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	1	1	0	0	0	1	0	3	0	1	0	0	0	2	0	1	0	0	1	0	0	0	1	0	1	0	1	0	0	0	0	0	0	4	0	0	0	1	0	2	0	0	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	2	0	0	1	2	0	0	0	1	4	0	0	0	1	0	2	1	0	0	0	0	1	0	1	2	0	1	0	0	1	1	0	0	0	0	1	2	2	0	0	1	0	0	0	0	0	2	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	2	0	0	0	1	1	0	0	0	1	0	3	0	0	0	2	0	0	0	1	0	1	0	3	0	0	2	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	2	2	0	0	1	0	1	1	0	0	1	0	1	0	1	0	0	0	1	0	0	0	1	7	0	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	1	0	3	0	0	2	1	0	0	0	1	1	1	0	0	1	0	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	1	1	3	1	0	0	0	1	0	2	0	0	0
